CODBAIRES;BAIRRO;ap
1;SAUDE;1.0
2;GAMBOA;1.0
3;SANTO CRISTO;1.0
4;CAJU;1.0
5;CENTRO;1.0
6;CATUMBI;1.0
7;RIO COMPRIDO;1.0
8;CIDADE NOVA;1.0
9;ESTACIO;1.0
10;SAO CRISTOVAO;1.0
11;MANGUEIRA;1.0
12;BENFICA;1.0
13;PAQUETA;1.0
14;SANTA TERESA;1.0
15;FLAMENGO;2.1
16;GLORIA;2.1
17;LARANJEIRAS;2.1
18;CATETE;2.1
19;COSME VELHO;2.1
20;BOTAFOGO;2.1
21;HUMAITA;2.1
22;URCA;2.1
23;LEME;2.1
24;COPACABANA;2.1
25;IPANEMA;2.1
26;LEBLON;2.1
27;LAGOA;2.1
28;JARDIM BOTANICO;2.1
29;GAVEA;2.1
30;VIDIGAL;2.1
31;SAO CONRADO;2.1
32;PRACA DA BANDEIRA;2.2
33;TIJUCA;2.2
34;ALTO DA BOA VISTA;2.2
35;MARACANA;2.2
36;VILA ISABEL;2.2
37;ANDARAI;2.2
38;GRAJAU;2.2
39;MANGUINHOS;3.1
40;BONSUCESSO;3.1
41;RAMOS;3.1
42;OLARIA;3.1
43;PENHA;3.1
44;PENHA CIRCULAR;3.1
45;BRAS DE PINA;3.1
46;CORDOVIL;3.1
47;PARADA DE LUCAS;3.1
48;VIGARIO GERAL;3.1
49;JARDIM AMERICA;3.1
50;HIGIENOPOLIS;3.2
51;JACARE;3.2
52;MARIA DA GRACA;3.2
53;DEL CASTILHO;3.2
54;INHAUMA;3.2
55;ENGENHO DA RAINHA;3.2
56;TOMAS COELHO;3.2
57;SAO FRANCISCO XAVIER;3.2
58;ROCHA;3.2
59;RIACHUELO;3.2
60;SAMPAIO;3.2
61;ENGENHO NOVO;3.2
62;LINS DE VASCONCELOS;3.2
63;MEIER;3.2
64;TODOS OS SANTOS;3.2
65;CACHAMBI;3.2
66;ENGENHO DE DENTRO;3.2
67;AGUA SANTA;3.2
68;ENCANTADO;3.2
69;PIEDADE;3.2
70;ABOLICAO;3.2
71;PILARES;3.2
72;VILA KOSMOS;3.3
73;VICENTE DE CARVALHO;3.3
74;VILA DA PENHA;3.3
75;VISTA ALEGRE;3.3
76;IRAJA;3.3
77;COLEGIO;3.3
78;CAMPINHO;3.3
79;QUINTINO BOCAIUVA;3.3
80;CAVALCANTE;3.3
81;ENGENHEIRO LEAL;3.3
82;CASCADURA;3.3
83;MADUREIRA;3.3
84;VAZ LOBO;3.3
85;TURIACU;3.3
86;ROCHA MIRANDA;3.3
87;HONORIO GURGEL;3.3
88;OSWALDO CRUZ;3.3
89;BENTO RIBEIRO;3.3
90;MARECHAL HERMES;3.3
91;RIBEIRA;3.1
92;ZUMBI;3.1
93;CACUIA;3.1
94;PITANGUEIRAS;3.1
95;PRAIA DA BANDEIRA;3.1
96;COCOTA;3.1
97;BANCARIOS;3.1
98;FREGUESIA-ILHA;3.1
99;JARDIM GUANABARA;3.1
100;JARDIM CARIOCA;3.1
101;TAUA;3.1
102;MONERO;3.1
103;PORTUGUESA;3.1
104;GALEAO;3.1
105;CIDADE UNIVERSITARIA;3.1
106;GUADALUPE;3.3
107;ANCHIETA;3.3
108;PARQUE ANCHIETA;3.3
109;RICARDO ALBUQUERQUE;3.3
110;COELHO NETO;3.3
111;ACARI;3.3
112;BARROS FILHO;3.3
113;COSTA BARROS;3.3
114;PAVUNA;3.3
115;JACAREPAGUA;4.0
116;ANIL;4.0
117;GARDENIA AZUL;4.0
118;CIDADE DE DEUS;4.0
119;CURICICA;4.0
120;FREGUESIA-JPA;4.0
121;PECHINCHA;4.0
122;TAQUARA;4.0
123;TANQUE;4.0
124;PRACA SECA;4.0
125;VILA VALQUEIRE;4.0
126;JOA;4.0
127;ITANHANGA;4.0
128;BARRA DA TIJUCA;4.0
129;CAMORIM;4.0
130;VARGEM PEQUENA;4.0
131;VARGEM GRANDE;4.0
132;RECREIO BANDEIRANTES;4.0
133;GRUMARI;4.0
134;DEODORO;5.1
135;VILA MILITAR;5.1
136;CAMPO DOS AFONSOS;5.1
137;JARDIM SULACAP;5.1
138;MAGALHAES BASTOS;5.1
139;REALENGO;5.1
140;PADRE MIGUEL;5.1
141;BANGU;5.1
142;SENADOR CAMARA;5.1
143;SANTISSIMO;5.2
144;CAMPO GRANDE;5.2
145;SENADOR VASCONCELOS;5.2
146;INHOAIBA;5.2
147;COSMOS;5.2
148;PACIENCIA;5.3
149;SANTA CRUZ;5.3
150;SEPETIBA;5.3
151;GUARATIBA;5.2
152;BARRA DE GUARATIBA;5.2
153;PEDRA DE GUARATIBA;5.2
154;ROCINHA;2.1
155;JACAREZINHO;3.2
156;COMPLEXO DO ALEMAO;3.1
157;COMPLEXO DA MARE;3.1
158;PARQUE COLUMBIA;3.3
159;VASCO DA GAMA;1.0
160;GERICINO;5.1
161;LAPA;1.0
162;VILA KENNEDY;5.1
163;JABOUR;5.1
164;ILHA DE GUARATIBA;5.2
165;BARRA OLIMPICA;4.0
166;ARGENTINO;3.1
998;ILHA DO GOVERNADOR - IGNORADO;3.1
